,Date,Value
1161,2022-10-07,0
1162,2022-10-11,0
1163,2022-10-12,0
1164,2022-10-13,0
1165,2022-10-14,0
1166,2022-10-17,0
1167,2022-10-18,0
1168,2022-10-19,0
1169,2022-10-20,0
1170,2022-10-21,0
1171,2022-10-24,0
1172,2022-10-25,0
1173,2022-10-26,0
1174,2022-10-27,0
1175,2022-10-28,0
1176,2022-10-31,0
1177,2022-11-01,0
1178,2022-11-02,0
1179,2022-11-03,0
1180,2022-11-04,0
1181,2022-11-07,0
1182,2022-11-08,0
1183,2022-11-09,1
1184,2022-11-10,1
1185,2022-11-11,1
1186,2022-11-14,1
1187,2022-11-15,1
1188,2022-11-16,1
1189,2022-11-17,1
1190,2022-11-18,1
1191,2022-11-21,1
1192,2022-11-22,1
1193,2022-11-23,1
1194,2022-11-24,1
1195,2022-11-25,1
1196,2022-11-28,1
1197,2022-11-29,1
1198,2022-11-30,1
1199,2022-12-01,1
1200,2022-12-02,1
1201,2022-12-05,1
1202,2022-12-06,1
1203,2022-12-07,1
1204,2022-12-08,1
1205,2022-12-09,1
1206,2022-12-12,1
1207,2022-12-13,1
1208,2022-12-14,1
1209,2022-12-15,1
1210,2022-12-16,1
1211,2022-12-19,1
1212,2022-12-20,0
1213,2022-12-21,0
1214,2022-12-22,0
1215,2022-12-23,0
1216,2022-12-26,0
1217,2022-12-27,0
1218,2022-12-28,0
1219,2022-12-29,0
1220,2022-12-30,0
1221,2023-01-03,0
1222,2023-01-04,0
1223,2023-01-05,0
1224,2023-01-06,0
1225,2023-01-09,0
1226,2023-01-10,0
1227,2023-01-11,0
1228,2023-01-12,0
1229,2023-01-13,0
1230,2023-01-16,0
1231,2023-01-17,0
1232,2023-01-30,0
1233,2023-01-31,1
1234,2023-02-01,1
1235,2023-02-02,1
1236,2023-02-03,1
1237,2023-02-06,1
1238,2023-02-07,1
1239,2023-02-08,1
1240,2023-02-09,1
1241,2023-02-10,1
1242,2023-02-13,1
1243,2023-02-14,1
1244,2023-02-15,1
1245,2023-02-16,1
1246,2023-02-17,1
